Bronze,,Silver,,,,,,,,
item_type,xpath,enriched_table,column_name,datatype,nullable,default,Key,Remark,curated_mapping,transforamtion
,,cdw_asset,business_date,DateType,FALSE,,,event_date,,
,,cdw_asset,insert_date,TimestampType,FALSE,,,,,
,,cdw_asset,update_date,TimestampType,FALSE,,,,,
,,cdw_asset,effective_from_date,DateType,FALSE,,,,,
,,cdw_asset,effective_to_date,DateType,FALSE,,,,,
,,cdw_asset,is_active,BooleanType,FALSE,,,,,
,,cdw_legal_entity,id,IntegerType,FALSE,,SK,,,
legalEntity,/list/legalEntity/identifier[@name='legalEntityId'],cdw_legal_entity,legal_entity_id,StringType,FALSE,,PK,,,
legalEntity,/list/legalEntity/createdDateTime,cdw_legal_entity,created_date_time,DateType,FALSE,,,,,
legalEntity,/list/legalEntity/identifier[@name='shortName'],cdw_legal_entity,short_name,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/identifier[@name='longName'],cdw_legal_entity,long_name,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/identifier[@name='bloombergCompanyName'],cdw_legal_entity,bbg_name,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/identifier[@name='BBCMPYID'],cdw_legal_entity,bbcmpyid,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/identifier[@name='CLIENTREF'],cdw_legal_entity,client_ref,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/identifier[@name='GROUPREF'],cdw_legal_entity,group_ref,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/relatedLegalEntity[@relationship='riskUltimateParent']/identifier[@name='longName'],cdw_legal_entity,ultimate_parent_long_name,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/relatedLegalEntity[@relationship='riskUltimateParent']/identifier[@name='CLIENTREF'],cdw_legal_entity,ultimate_parent_client_ref,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/relatedLegalEntity[@relationship='riskImmediateParent']/identifier[@name='longName'],cdw_legal_entity,immediate_parent_long_name,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/relatedLegalEntity[@relationship='riskImmediateParent']/identifier[@name='CLIENTREF'],cdw_legal_entity,immediate_parent_client_ref,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/relatedLocation[@idScheme='ISO2'][@type='country'][@relationship='Incorporation'],cdw_legal_entity,country_incorporation,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/relatedLocation[@idScheme='ISO2'][@type='country'][@relationship='Risk'],cdw_legal_entity,country_risk,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/relatedLocation[@idScheme='ISO2'][@type='country'][@relationship='Residence'],cdw_legal_entity,country_residence,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/creditRating[@name='derivedPartyPolicy'],cdw_legal_entity,manual_rating,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/classification[@scheme='gicsCode'],cdw_legal_entity,gics_code,StringType,TRUE,,,,,
legalEntity,/list/legalEntity/clientRole/classification[@scheme='customerStatus'],cdw_legal_entity,status,StringType,TRUE,,,,,
,,cdw_legal_entity,business_date,DateType,FALSE,,,,,
,,cdw_legal_entity,insert_date,TimestampType,FALSE,,,,,
,,cdw_legal_entity,update_date,TimestampType,FALSE,,,,,
,,cdw_legal_entity,effective_from_date,DateType,FALSE,,,,,
,,cdw_legal_entity,effective_to_date,DateType,FALSE,,,,,
,,cdw_legal_entity,is_active,BooleanType,FALSE,,,,,
