Bronze,,,,Silver,,,,,Gold,,,,
trade_family,trade_group,trade_type,xpath,enriched_table,column_name,datatype,nullable,default,curated_table,curated_field_mapping,transforamtion,ESB,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeBody/forexSwapLeg/exchangeRate/rate,murex_trade_curr_fxd_swleg,exchange_rate,DecimalType,TRUE,,,,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeHeader/tradeCategory/collateralAgreementCategory,murex_trade_curr_fxd_swleg,collateral_agreement_category,StringType,TRUE,,,CSA,,,
IRD,CS,,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/tradeId/tradeGlobalId,murex_trade_ird_cs,trade_global_id,StringType,FALSE,,,GLOBALID,,,
IRD,CS,,/MxML/trades/trade/tradeHeader/tradeViews/tradeView[1]/entity,murex_trade_ird_cs,entity,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/legalEntity,murex_trade_ird_cs,legal_entity,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/tradeHeader/contractReference/businessObjectId/identifier,murex_trade_ird_cs,contract_id,StringType,TRUE,,,MUREXCONT,,,
IRD,CS,,/MxML/trades/trade/tradeHeader/contractReference/contractId/rootContract,murex_trade_ird_cs,root_contract_id,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/businessObjectId/identifier,murex_trade_ird_cs,trade_id,StringType,FALSE,,,TRADENUMB,,,
IRD,CS,,/MxML/trades/trade/businessObjectId/versionIdentifier/versionRevision/versionNumber,murex_trade_ird_cs,version_number,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/tradeHeader/tradeSource/tradeOriginId,murex_trade_ird_cs,trade_origin_id,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/tradeHeader/tradeDate,murex_trade_ird_cs,trade_date,DateType,FALSE,,,TRADETIME,,,
IRD,CS,,/MxML/trades/trade/tradeInputConditions/computerTime,murex_trade_ird_cs,trade_time,TimestampType,FALSE,,,,,,
IRD,CS,,/MxML/trades/trade/tradeStatus/physicalStatus,murex_trade_ird_cs,trade_status,StringType,TRUE,,,STATUS,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/templateID/templateLabel,murex_trade_ird_cs,instrument_name,StringType,TRUE,,,INSTRUMEN,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/templateID/templateNumber,murex_trade_ird_cs,instrument_number,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/templateID/templateType,murex_trade_ird_cs,instrument_type,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/tradeBody/currencySwap/businessObjectId/@mefClassInstanceType,murex_trade_ird_cs,instrument_class,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/tradeHeader/tradeCategory/tradeTypologyId,murex_trade_ird_cs,trade_typology_id,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/tradeHeader/tradeCategory/tradeFamily,murex_trade_ird_cs,trade_family,StringType,TRUE,,,,,,
IRD,CS,,/MxML/trades/trade/tradeHeader/tradeCategory/tradeGroup,murex_trade_ird_cs,trade_group,StringType,TRUE,,,,,,
